,player_id,team_id,team_tx,pos_tx,elo,teamID,nameFirst,nameLast,score
0,zimmr001,WAS,WAS,3B,759.8601139223273,WAS,Ryan,Zimmerman,252.53
1,wertj001,WAS,WAS,OF,959.3401488863843,WAS,Jayson,Werth,252.92
2,waltz001,WAS,WAS,SS,1494.273048143399,WAS,Zach,Walters,4.75
3,tracc001,WAS,WAS,3B,1359.5387630338162,WAS,Chad,Tracy,35.8
4,suzuk001,WAS,WAS,C,1130.348788729967,WAS,Kurt,Suzuki,86.07999999999998
8,spand001,WAS,WAS,OF,729.4982120823149,WAS,Denard,Span,222.88
9,solaj002,WAS,WAS,C,1439.3663768251224,WAS,Jhonatan,Solano,7.8599999999999985
10,renda001,WAS,WAS,3B,1053.3296199718154,WAS,Anthony,Rendon,135.49
11,ramow001,WAS,WAS,C,1152.6139335006183,WAS,Wilson,Ramos,135.0
12,peree003,WAS,WAS,OF,1488.876671656427,WAS,Eury,Perez,0.48
13,marrc001,WAS,WAS,1B,1480.0423976397312,WAS,Chris,Marrero,1.71
14,lombs002,WAS,WAS,2B,1141.2514256360648,WAS,Steve,Lombardozzi,89.94999999999997
15,leons001,WAS,WAS,C,1498.74950180645,WAS,Sandy,Leon,-0.2
16,kobej001,WAS,WAS,2B,1466.195539920846,WAS,Jeff,Kobernus,8.98
17,harpb003,WAS,WAS,OF,967.711524660771,WAS,Bryce,Harper,205.38
18,hairs001,WAS,WAS,2B,1320.076730783846,CHN,Scott,Hairston,40.72
22,espid001,WAS,WAS,SS,1292.1420485298618,WAS,Danny,Espinosa,33.1
23,desmi001,WAS,WAS,SS,731.2608228600478,WAS,Ian,Desmond,250.66
24,dejed001,WAS,WAS,CF,1077.9603197834272,CHN,David,DeJesus,110.63
33,browc003,WAS,WAS,OF,1487.8038435991218,WAS,Corey,Brown,5.4
34,bernr001,WAS,WAS,OF,1206.0037236421938,WAS,Roger,Bernadina,34.67
38,tholj001,TOR,TOR,C,1330.26998647146,TOR,Josh,Thole,31.41
39,sierm001,TOR,TOR,OF,1374.1167286282312,TOR,Moises,Sierra,47.12000000000001
40,reyej001,TOR,TOR,SS,1042.6908063550914,TOR,Jose,Reyes,160.04999999999995
41,rasmc001,TOR,TOR,OF,990.7578650885624,TOR,Colby,Rasmus,184.26
42,pillk001,TOR,TOR,OF,1365.1779260997118,TOR,Kevin,Pillar,30.99
43,nickm001,TOR,TOR,C,1500.0,TOR,Mike,Nickeas,0.0
44,linda001,TOR,TOR,OF,923.4451323421795,TOR,Adam,Lind,218.37
45,lawrb002,TOR,TOR,3B,962.8785484964296,TOR,Brett,Lawrie,156.37
46,laroa002,TOR,TOR,3B,1492.6080763675147,TOR,Andy,LaRoche,-0.2
47,langr002,TOR,TOR,OF,1486.8928756826904,TOR,Ryan,Langerhans,3.82
48,kawam001,TOR,TOR,SS,1175.101593744261,TOR,Munenori,Kawasaki,91.81
49,iztum001,TOR,TOR,SS,1018.8366612110634,TOR,Maicer,Izturis,119.47
50,gosea001,TOR,TOR,OF,1314.9386534473517,TOR,Anthony,Gose,45.6
