,player_id,team_id,team_tx,pos_tx,elo,teamID,nameFirst,nameLast,score
0,zimmj003,WAS,WAS,P,2531.9728764619995,WAS,Jordan,Zimmermann,322.0
1,stras001,WAS,WAS,P,2300.4128798734637,WAS,Stephen,Strasburg,297.35
2,stord001,WAS,WAS,P,1787.0460724752995,WAS,Drew,Storen,121.0
3,stamc001,WAS,WAS,P,1856.2367641383805,WAS,Craig,Stammen,157.5
4,sorir001,WAS,WAS,P,1830.4330465576347,WAS,Rafael,Soriano,248.0
5,rodrh002,WAS,WAS,P,1583.3579113825,WAS,Henry,Rodriguez,20.1
9,roart001,WAS,WAS,P,1715.748384829083,WAS,Tanner,Roark,117.4
10,ohler001,WAS,WAS,P,1735.7934017647608,WAS,Ross,Ohlendorf,93.4
11,mayay001,WAS,WAS,P,1501.034015416763,WAS,Yunesky,Maya,-7.1
12,mattr001,WAS,WAS,P,1645.0937164112363,WAS,Ryan,Mattheus,23.9
13,kroli001,WAS,WAS,P,1627.8880259252048,WAS,Ian,Krol,50.8
14,karnn001,WAS,WAS,P,1533.8626646220093,WAS,Nate,Karns,2.9
15,jordt001,WAS,WAS,P,1681.6897285981654,WAS,Taylor,Jordan,45.5
16,hared001,WAS,WAS,P,2283.0957658736174,WAS,Dan,Haren,180.1
17,gonzg003,WAS,WAS,P,2379.4620681026704,WAS,Gio,Gonzalez,308.55
18,dukez001,WAS,WAS,P,1601.1563724993962,CIN,Zach,Duke,20.8
22,detwr001,WAS,WAS,P,1728.167283236151,WAS,Ross,Detwiler,47.1
23,davie002,WAS,WAS,P,1532.29989194218,WAS,Erik,Davis,25.4
24,clipt001,WAS,WAS,P,1847.9868739556423,WAS,Tyler,Clippard,168.2
25,cedex001,WAS,WAS,P,1534.6454157597584,WAS,Xavier,Cedeno,16.7
29,abadf001,WAS,WAS,P,1661.9109385604393,WAS,Fernando,Abad,56.7
30,webet001,TOR,TOR,P,1556.3917575748812,SDN,Thad,Weber,14.3
34,wangc001,TOR,TOR,P,1601.0058826007662,TOR,Chien-Ming,Wang,-0.6
35,wagnn001,TOR,TOR,P,1668.9314750715423,TOR,Neil,Wagner,55.6
36,storm001,TOR,TOR,P,1515.4199693385833,TOR,Mickey,Storey,6.3
37,sants001,TOR,TOR,P,1627.1797209290385,TOR,Sergio,Santos,66.3
38,romer002,TOR,TOR,P,1527.9336917594158,TOR,Ricky,Romero,-10.2
39,rogee002,TOR,TOR,P,2146.412810389742,TOR,Esmil,Rogers,119.2
40,redmt002,TOR,TOR,P,1866.6237254429702,TOR,Todd,Redmond,106.9
41,perel001,TOR,TOR,P,1520.8579950934254,TOR,Luis,Perez,5.0
42,perej001,TOR,TOR,P,1647.6031383009376,TOR,Juan,Perez,50.5
43,ortir002,TOR,TOR,P,1604.70503465276,TOR,Ramon,Ortiz,3.9
44,olivd001,TOR,TOR,P,1717.16225985986,TOR,Darren,Oliver,76.8
45,nolis001,TOR,TOR,P,1503.0649456524734,TOR,Sean,Nolin,-13.9
46,morrb001,TOR,TOR,P,1747.8523246546595,TOR,Brandon,Morrow,40.2
